algo_tag,algo,FND,HND,LND,func_life_pdr85,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed
SHEER,SHEER,1298,1311,8854,300,22142,88830,0.750737363503321,0.249262636496679,0.8979276631477927,0.8252609254498655,0.0007494254315375472,30127.85181838717,1.8133047210300428,3.1243628115352737,1.0,2750,13549,23,0,0,38754200,8854,42
ACTAR,ACTAR,808,975,6351,300,22805,87361,0.7389567427112785,0.26104325728872146,0.8933639011091146,0.8069159756502171,0.0007742410277338032,40658.79389072587,2.040938434892143,3.3860832496637876,1.645548051304294,2076,17616,15,0,0,37433000,6351,42
TFSM_DPC,TFSM_DPC,739,1118,6224,300,21204,83579,0.7462999078715945,0.2537000921284055,0.8981002004008016,0.8243974297890855,0.0008002833219590673,40086.760925449875,2.1785025706940875,3.8195602875395513,1.7860200400801602,1926,16005,20,0,0,36149200,6224,42
DST_WOA,DST_WOA,728,1542,7187,300,22196,90852,0.7556905736802713,0.24430942631972874,0.9106123281286413,0.8427980131435241,0.0007245921376256865,38211.214693196045,1.734798942535133,5.011038449051528,1.2361920298298765,1809,13443,22,0,0,38721400,7187,42
TRAIL,TRAIL,836,996,7622,984,21431,91532,0.7658633046366298,0.23413669536337023,0.9327541689847506,0.8699133893609248,0.0007128248727633646,36788.769351876144,1.9282340593020204,4.8527764190385545,1.179355501348055,2017,9864,30,0,0,39572600,7622,42
SHEER,SHEER,1341,1355,9865,300,21455,88210,0.7567736084344179,0.24322639156558212,0.891873267920006,0.8265525174631769,0.0007485998874468776,27067.410035478966,1.7636087176887987,2.716960514565685,1.0,3056,13647,20,0,0,38772600,9865,43
ACTAR,ACTAR,853,978,7218,300,21185,87504,0.7578967818614006,0.24210321813859936,0.897389888267314,0.830049939081771,0.0007535118907757524,36752.008866722084,1.8845940703796065,3.2839116984274925,1.6430585503400232,2251,15701,18,0,0,37734200,7218,43
TFSM_DPC,TFSM_DPC,694,1202,7743,300,20008,83116,0.7592761923095432,0.24072380769045676,0.9062559421943335,0.8379929020223327,0.0007916875672524189,32601.317318868656,1.946661500710319,3.3707855802053803,1.7845439563922165,2333,14221,21,0,0,36277000,7743,43
DST_WOA,DST_WOA,749,1412,7482,304,21334,91370,0.7665097953376382,0.2334902046623618,0.9242104060768748,0.860050503435414,0.0007135158693051175,37442.395081529,1.7405773857257418,4.862002138465651,1.2092923639271231,1906,11675,25,0,0,39136200,7482,43
TRAIL,TRAIL,849,1008,9579,1004,20104,90483,0.7778146171103965,0.22218538288960354,0.9403373165290783,0.8812944777421121,0.0007101220277081054,29388.87148971709,1.7442321745484914,3.9116583281772286,1.2111425283110018,2483,8947,30,0,0,39551200,9579,43
SHEER,SHEER,1300,1320,7649,300,22963,89326,0.7429303898081185,0.25706961019188146,0.891957868089146,0.8128369898891971,0.0007529951148451398,34704.1443325925,1.9743757353902471,3.2677983116373763,1.0,2464,14752,22,0,0,38762200,7649,44
ACTAR,ACTAR,809,962,9648,300,20450,86035,0.7623060382402511,0.23769396175974888,0.9078447815811542,0.8355519274518302,0.0007620091689186994,27191.12769485904,1.6445895522388059,2.64493747367659,1.6398414271555997,2925,15346,17,0,0,37591800,9648,44
TFSM_DPC,TFSM_DPC,613,1113,5598,300,21102,83488,0.7472451130701419,0.25275488692985815,0.9068701311191614,0.8288641509249417,0.0007950370598934939,44577.349053233294,2.220971775634155,4.53763120835736,1.754496201070753,1659,14887,25,0,0,35909400,5598,44
DST_WOA,DST_WOA,706,1431,6741,804,21879,91285,0.7603220682477954,0.23967793175220464,0.9201798115436706,0.8543075752115431,0.0007200229304810758,41184.39400682391,1.8280670523661178,5.1803837215052235,1.2298792611589775,1658,11869,23,0,0,38999200,6741,44
