algo,seed,auc_raw,auc_norm
ACTAR,42,0.2981933902444954,0.7454834756112385
ACTAR,43,0.3022814260961136,0.7557035652402839
ACTAR,44,0.303717605335486,0.7592940133387149
ACTAR,45,0.3009810649556823,0.7524526623892056
ACTAR,46,0.29991690612697003,0.749792265317425
DST_WOA,42,0.30415344152204354,0.7603836038051088
DST_WOA,43,0.30624653006021885,0.7656163251505471
DST_WOA,44,0.30624047463125276,0.7656011865781318
DST_WOA,45,0.3092471108163311,0.7731177770408277
DST_WOA,46,0.3048653976879409,0.7621634942198522
SHEER,42,0.2986959737760381,0.7467399344400952
SHEER,43,0.30211422781837105,0.7552855695459276
SHEER,44,0.2998186538380116,0.7495466345950289
SHEER,45,0.3043737173306399,0.7609342933265997
SHEER,46,0.2976027244293342,0.7440068110733355
TFSM_DPC,42,0.30023767523568934,0.7505941880892233
TFSM_DPC,43,0.303714585229301,0.7592864630732524
TFSM_DPC,44,0.3040461627179197,0.7601154067947992
TFSM_DPC,45,0.3014491719383395,0.7536229298458487
TFSM_DPC,46,0.301740425425678,0.754351063564195
TRAIL,42,0.3100897992330591,0.7752244980826478
TRAIL,43,0.31243481735482187,0.7810870433870546
TRAIL,44,0.31114447009000923,0.7778611752250231
TRAIL,45,0.31308837495124175,0.7827209373781043
TRAIL,46,0.31026222107982077,0.7756555526995519
