algo_tag,algo,FND,HND,LND,func_life_pdr85,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed
SHEER,SHEER,1327,1341,10429,300,30426,92007,0.6693077700609736,0.33069222993902636,0.8416232279436839,0.7560811438810612,0.000811486729081696,23619.13893949564,1.7061079681656919,2.87183049555041,1.0,3412,19374,26,0,0,40372400,10429,42
ACTAR,ACTAR,893,996,6006,300,29873,91310,0.672839776585259,0.32716022341474105,0.8301186581376043,0.7557916490994112,0.0008135012486931882,40917.08291708292,2.081252081252081,3.963284472862394,1.626462880674512,2287,23163,20,0,0,39031200,6006,42
TFSM_DPC,TFSM_DPC,742,1189,6373,300,28662,86986,0.6704987009403812,0.3295012990596188,0.847266991290035,0.7641181463403571,0.0008477560847414591,36606.93550917935,2.106229405303625,4.380013118060348,1.7498285439956107,2163,20950,28,0,0,37494000,6373,42
DST_WOA,DST_WOA,844,1819,6129,300,30270,95738,0.6838246046501911,0.3161753953498089,0.8604661819514877,0.7875231192763451,0.0007634138554997646,42726.70908794257,1.8404307391091532,6.336936422472397,1.3771919105517199,1740,19375,18,0,0,40345800,6129,42
TRAIL,TRAIL,842,1030,7936,952,28762,96685,0.7025184878729896,0.29748151212701035,0.8964268362704828,0.8267477376843596,0.0007358108631713388,34235.38306451613,1.758820564516129,5.925059660111953,1.1442074113334217,2093,13622,40,0,0,41489200,7936,42
