algo,ratio,pdr_mean,pdr_std,pdr_n,pdr_ci95,pdr_cv,timely_overall_mean,timely_overall_std,timely_overall_n,timely_overall_ci95,timely_overall_cv,bits_per_joule_mean,bits_per_joule_std,bits_per_joule_n,bits_per_joule_ci95,bits_per_joule_cv,overhead_ratio_mean,overhead_ratio_std,overhead_ratio_n,overhead_ratio_ci95,overhead_ratio_cv,pdr_rel_impr_pct_mean,pdr_rel_impr_pct_std,pdr_rel_impr_pct_n,pdr_rel_impr_pct_ci95,pdr_rel_impr_pct_cv,bpj_rel_impr_pct_mean,bpj_rel_impr_pct_std,bpj_rel_impr_pct_n,bpj_rel_impr_pct_ci95,bpj_rel_impr_pct_cv,overhead_rel_red_pct_mean,overhead_rel_red_pct_std,overhead_rel_red_pct_n,overhead_rel_red_pct_ci95,overhead_rel_red_pct_cv,FND_mean,FND_std,FND_n,FND_ci95,FND_cv,HND_mean,HND_std,HND_n,HND_ci95,HND_cv,LND_mean,LND_std,LND_n,LND_ci95,LND_cv
ACTAR,0.1,0.9102643336281204,0.008722075179380298,5,0.007645235978335522,0.009581914678141826,0.8811694785874448,0.013343830828520776,5,0.01169638342262928,0.01514331936452401,1477.0448782362132,12.929057666714884,5,11.33281871649337,0.008753327578071865,0.11607794042060933,0.001348667283985136,5,0.001182158996600146,0.011618635540036554,-0.6820930386247448,0.7364168867261209,5,0.6454978616513607,-1.0796428713169475,-3.493398139495085,0.5314870127388521,5,0.46586890713980905,-0.152140406422633,1.4224384431246007,0.541115586418951,5,0.474308724087635,0.3804140622284567,799.4,14.117365193264646,5,12.374416188249043,0.01765995145517218,921.4,16.772000476985447,5,14.70130660859775,0.018202735486200827,4468.0,1757.69351708425,5,1540.6862976219395,0.393396042319662
ACTAR,0.2,0.8303591351450944,0.005632213566796878,5,0.004936852860468526,0.0067828645804116254,0.7717423561240102,0.009334907897604711,5,0.008182407540115545,0.012095886436100548,1395.6456358474866,12.936590728576393,5,11.33942173634666,0.00926925173288768,0.12872863677550922,0.001567259721670278,5,0.0013737637162124427,0.012174911200243948,-0.20924559148620903,0.9543851119026081,5,0.8365554348757661,-4.561076317660483,-1.9657392821790822,0.8299189781914261,5,0.7274560584128521,-0.42219178591752804,1.2710413471494242,1.249273650307285,5,1.0950366353978649,0.9828741237325143,819.6,20.99523755521714,5,18.403137123871023,0.025616444064442575,949.6,10.334408546211051,5,9.058508486500411,0.010882907062143059,6203.2,1008.8640641830791,5,884.3083420074696,0.16263606915512624
ACTAR,0.3,0.7491771960167662,0.004660817794149369,5,0.004085386924035798,0.006221248883348404,0.6700804128035445,0.0066923374124971315,5,0.005866092382021763,0.009987364627622952,1310.4309567491243,8.539436442978436,5,7.485146067407181,0.006516510006878022,0.14291518935145087,0.0011009533592606004,5,0.0009650281681344721,0.007703543369019952,-0.35924038413162274,1.1749255845360933,5,1.0298676824063409,-3.2705832540965383,-1.9042461049753623,1.0126654125957575,5,0.8876403708025783,-0.5317933485329931,1.9414757489252454,0.5272612107328315,5,0.46216482836620154,0.2715775414782856,834.8,24.00416630503963,5,21.040579459701195,0.028754391836415465,957.0,15.099668870541501,5,13.23544332464916,0.015778128391370428,6692.6,551.0451887096011,5,483.01240424651627,0.08233648936281882
ACTAR,0.4,0.6768073441389513,0.0054601435973365454,5,0.0047860268822174585,0.008067500514911004,0.5737937767437941,0.010581010950238855,5,0.009274665024118266,0.01844044215725855,1226.1749747491278,11.898841317681637,5,10.42979427160921,0.009704032102038417,0.1592040682856095,0.0018881703511025017,5,0.0016550542852006148,0.011860063448348272,1.1633584917823048,1.4319889782026956,5,1.2551936817303433,1.2309094645527878,-1.175007887324131,0.6161682286891489,5,0.5400952656104325,-0.5243949724391733,2.087638034237207,1.74256406983224,5,1.527424752395083,0.8347060368005548,854.6,25.744902408049626,5,22.566401928530826,0.03012509057810629,983.4,10.139033484509262,5,8.887254694223634,0.01031018251424574,8334.2,1009.0667470489749,5,884.4860013725486,0.12107541780242553
ACTAR,0.5,0.5995241542057432,0.0063861138339041,5,0.005597675580707279,0.010651970882415115,0.4711019926553786,0.008934066273486748,5,0.007831054365177805,0.018964186976008435,1133.9941770998598,8.45062904114369,5,7.407302947543435,0.007452092093414295,0.17859135115466623,0.0015191890377896284,5,0.0013316279039946805,0.008506509570410034,0.8160863706705769,0.8060191030005729,5,0.7065068941452928,0.987663967893825,-1.9380727081148241,0.4652734597173634,5,0.40783016894937757,-0.24007017784690746,1.6635881705625841,0.6561767659186641,5,0.5751642947092392,0.39443461881359815,869.8,27.35324478009875,5,23.976176175528906,0.031447740607149645,1022.4,10.064790112068897,5,8.822177508982689,0.009844278278627647,7510.2,1447.5020552662438,5,1268.7914933132236,0.19273815015129342
DST_WOA,0.1,0.9182429090616605,0.004770546677796739,5,0.00418156853126457,0.0051952992293418905,0.9006145969933133,0.004613749310266223,5,0.004044129578848012,0.005122889775125923,1536.028410037735,6.893848800566932,5,6.042724901511848,0.004488099800444178,0.11595143560627826,0.000849172485718781,5,0.0007443325018543483,0.007323518516857435,0.1908348428222273,0.7130546727007014,5,0.6250199781743917,3.7365014803137884,0.3631119801793381,0.6333235194857347,5,0.5551325409972501,1.7441548449405093,1.5244390866086,0.9129519987954943,5,0.8002377099644042,0.5988773226921956,710.4,45.25814843760182,5,39.67051620536339,0.06370797921959716,1415.4,90.04609930474503,5,78.9288860684097,0.06361883517362231,6448.2,1490.0257380327362,5,1306.0651446784727,0.23107622872006703
DST_WOA,0.2,0.8416760870138227,0.007607824814791334,5,0.0066685524711390136,0.009038898612152688,0.8044931126993073,0.009423921234939146,5,0.00826043117040369,0.01171411052024945,1462.4112881823644,8.407614982235145,5,7.36959946253794,0.0057491452987106844,0.12715726654397724,0.000744904281677608,5,0.0006529373913402257,0.005858133804881621,1.1464955570259905,0.4660240232120433,5,0.40848806685962685,0.40647695523645083,2.725951500550141,0.8240404201282546,5,0.7223032750807911,0.3022946006053115,2.476863639704283,0.533337122459361,5,0.46749059981135843,0.2153276078302951,724.4,25.70603042089539,5,22.53232912949747,0.03548596137616705,1402.4,95.11203919588729,5,83.36937816728633,0.06782090644315979,7966.4,1779.3391469868807,5,1559.6595287741488,0.2233554864163086
DST_WOA,0.3,0.7654972235282158,0.00826372155162981,5,0.00724347130953714,0.010795233865828952,0.7068453415007463,0.009527579561081032,5,0.008351291699369032,0.013479015849283923,1392.0099014301709,10.375336314583452,5,9.094383257221665,0.007453493185589916,0.14012908857460207,0.0010015817342267706,5,0.0008779250983592492,0.007147564752007556,1.8078303854726396,1.1697467052914436,5,1.025328194599328,0.6470444985831041,4.199507047568249,0.7084164789650109,5,0.6209544221119508,0.16869038935777558,3.851967802784779,0.681247716598258,5,0.5971399519014449,0.17685706409740762,744.2,43.089441862247426,5,37.76956107767206,0.05790035187079739,1473.6,47.410969194902584,5,41.55754679958864,0.032173567586117384,7906.6,1546.4899935014128,5,1355.5582467810077,0.19559481869595183
DST_WOA,0.4,0.6883181574449513,0.005293037107416459,5,0.004639551585607939,0.007689811826357039,0.6009194393609361,0.008075946188349023,5,0.007078878946633248,0.013439315920512722,1312.5310624446688,6.798512007573859,5,5.959158517955214,0.005179696086514872,0.1548564236829097,0.0006931332115233215,5,0.0006075580475441234,0.004475973259866886,2.88229366557446,1.2887650662044219,5,1.1296523876635607,0.44713176925626086,5.791172140117382,1.150542430835508,5,1.0084949058476498,0.1986717719656987,4.761303784293225,1.3568019071832056,5,1.189289308213499,0.28496436452113744,770.8,21.158922467838483,5,18.5466132757439,0.027450599984222206,1601.0,89.00280894443726,5,78.01440174736969,0.055592010583658494,7314.2,946.7907371747993,5,829.8986719256754,0.12944556303830895
DST_WOA,0.5,0.6119127982110231,0.006810883136528232,5,0.005970002290592981,0.011130479957994696,0.5024927506607006,0.012285861221052985,5,0.010769032174141987,0.02444982779333426,1212.6929653363575,5.26242037285536,5,4.6127148345146995,0.004339449904696842,0.17358492260961045,0.0007691713513960653,5,0.0006742084158022672,0.004431095396032359,2.8983015514206922,0.726394304750038,5,0.636712681204795,0.25062758027851634,4.871141387451452,0.9109142108254771,5,0.798451510053926,0.18700221126245348,4.418118555092265,0.6556070671946074,5,0.5746649317603545,0.14839055562213546,792.6,31.926478039395455,5,27.984791869871035,0.0402806939684525,1652.0,91.5532631859728,5,80.24997345793953,0.05541965083896658,7237.6,1932.1522455541644,5,1693.606115463687,0.2669603522651382
