algo,pdr_slope_mean,pdr_slope_std,n,pdr_slope_ci95
ACTAR,-0.8007640674868414,0.010254666365127106,10,0.006355908062348618
DST_WOA,-0.77523401400312,0.015562703956809167,10,0.009645863846668606
SHEER,-0.8161544249548971,0.010276915329551908,10,0.006369698113368454
TFSM_DPC,-0.7941910205579099,0.0220965220275269,10,0.013695566243113097
TRAIL,-0.7888345756105783,0.009504019205517932,10,0.005890652132622434
