algo,p_pdr_vs_SHEER,p_bits_per_joule_vs_SHEER,p_overhead_ratio_vs_SHEER
ACTAR,0.23022847617741665,0.045963899046917216,0.04006939331884021
DST_WOA,0.5459340549811176,0.024999264521603778,0.017123744205814192
TFSM_DPC,0.6426024189150974,0.009509905481742237,0.04140252172798959
TRAIL,0.0018075809948468423,0.12406440781625401,0.05104331547174924
