algo_tag,algo,FND,HND,LND,func_life_pdr85,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed
SHEER,SHEER,1270,1282,8472,300,14964,86738,0.827480458391939,0.17251954160806104,0.9426811937470393,0.8842915179663112,0.0006961819178330667,33887.6298394712,1.869452313503305,2.957048709474346,1.0,2396,8924,18,0,0,37876600,8472,42
ACTAR,ACTAR,817,921,6688,300,14611,83863,0.8257753717372381,0.17422462826276186,0.9352076474325651,0.874459423181135,0.0007216362265822589,41418.66028708134,1.989084928229665,2.884174219337945,1.6425373996418875,1978,11295,9,0,0,36213800,6688,42
TFSM_DPC,TFSM_DPC,696,1109,5813,300,13161,78743,0.8328613337058532,0.16713866629414675,0.9333506144978805,0.8889299531360706,0.0007559093992832397,45127.81696198176,2.2853948047479786,3.3878349625563016,1.808423042908115,1668,9712,12,0,0,34168600,5813,42
DST_WOA,DST_WOA,704,1446,6463,1040,13937,87594,0.8408909286024157,0.15910907139758435,0.949631399595422,0.9094466851390444,0.0006784982262500626,45586.87915828563,1.8345969364072412,5.007579039661663,1.2320213964728404,1393,7312,18,0,0,37422600,6463,42
TRAIL,TRAIL,841,986,8656,1033,12984,85258,0.8477093058715898,0.15229069412841023,0.9659351910783961,0.9249858675610081,0.0006914005356018267,33398.33641404806,1.9468576709796672,3.2491340824593182,1.2114176605694995,2264,5321,20,0,0,37492000,8656,42
SHEER,SHEER,1330,1341,10831,300,13714,84434,0.8375772792950708,0.16242272070492925,0.9413178733031674,0.886878151166872,0.0007065554002182004,26117.625334687473,1.7171083002492844,2.246217536964006,1.0,3193,8603,15,0,0,37408800,10831,43
ACTAR,ACTAR,826,963,7929,300,13411,83587,0.8395563903477814,0.1604436096522186,0.937172252621979,0.8900461425845327,0.0007121542191513633,35402.19447597427,1.8482784714339766,2.5508630710106295,1.6484695622435022,2343,10090,11,0,0,36372400,7929,43
TFSM_DPC,TFSM_DPC,646,1095,7161,300,12324,77849,0.841693534920166,0.15830646507983404,0.9402060282334986,0.8958907177241052,0.0007595875109809899,36601.03337522692,2.084904342968859,2.792159270846311,1.8357115604731018,2138,9012,12,0,0,33983600,7161,43
DST_WOA,DST_WOA,752,1408,7753,1098,13322,86811,0.8465401849995968,0.15345981500040318,0.9551633577814367,0.917045769135922,0.0006800034070373298,37915.12962724107,1.7486134399587256,4.2475901801453215,1.237994801943148,1752,6668,17,0,0,37450400,7753,43
TRAIL,TRAIL,865,1002,9900,1015,11855,84283,0.8593429279925964,0.14065707200740363,0.9684376208096316,0.9346060443980821,0.0006899947141239572,29263.838383838385,1.8292929292929292,2.835811596872496,1.2288479593527366,2682,4612,20,0,0,37353000,9900,43
SHEER,SHEER,1301,1318,7131,387,14774,86343,0.8288917457118701,0.17110825428812992,0.9289357123894424,0.876971105150503,0.0006982088817139333,40145.281166736786,2.083859206282429,2.9534387082557068,1.0,2155,9537,13,0,0,37521200,7131,44
ACTAR,ACTAR,800,961,4850,300,13922,83615,0.8334987741433953,0.16650122585660465,0.9328053032585769,0.8826342752574439,0.0007170550252500964,57478.762886597935,2.369896907216495,3.6430435355022994,1.6546855494812966,1429,12011,12,0,0,35476200,4850,44
TFSM_DPC,TFSM_DPC,620,1065,7142,300,12865,78158,0.8353975280841373,0.16460247191586275,0.9431485764170738,0.8916978284035525,0.0007603739717287272,36568.468216185945,2.0018202184262113,2.9719226106369465,1.8013110134317614,1920,9467,15,0,0,33529800,7142,44
DST_WOA,DST_WOA,670,1350,7865,1149,12857,85727,0.8500239131195539,0.14997608688044606,0.9570467956635104,0.91859589517905,0.0006816033299006936,37060.39415130324,1.6676414494596312,4.196297944479761,1.239673390970221,1729,6481,19,0,0,36932200,7865,44
TRAIL,TRAIL,847,993,9868,1000,11993,84015,0.8572516812473963,0.14274831875260374,0.9670517341923301,0.9290471666350878,0.0006937767640922288,29194.162950952574,1.8213417105796514,2.853650000288789,1.240079420177168,2592,4842,20,0,0,37226400,9868,44
SHEER,SHEER,1291,1307,8868,315,14755,86463,0.8293489700796872,0.17065102992031278,0.9409131477659396,0.8861127766107338,0.0006969093094012487,32344.609833107803,1.8284844384303112,2.9335099984964663,1.0,2654,8870,19,0,0,37464800,8868,45
ACTAR,ACTAR,809,920,8487,323,13923,83746,0.833747283452344,0.16625271654765605,0.9386162152872263,0.8862503861809874,0.0007157311376661244,32908.21256038648,1.7564510427712974,2.6322160358657367,1.6501439353794596,2482,11139,13,0,0,36106600,8487,45
TFSM_DPC,TFSM_DPC,629,1079,7878,303,13637,79278,0.8279850652135523,0.1720149347864477,0.9397937264819244,0.8875151123576239,0.0007586721134433198,33328.763645595325,1.915968519928916,2.9750667031921223,1.8334882162063344,2258,9869,15,0,0,34345400,7878,45
DST_WOA,DST_WOA,716,1398,10174,1008,13000,86629,0.8499347793464083,0.15006522065359174,0.9611837726982575,0.9224653992200781,0.0006787414344328323,28947.906428150185,1.5319441714173383,3.59053305812201,1.235830990506458,2510,6064,18,0,0,37379800,10174,45
TRAIL,TRAIL,887,946,10514,955,12014,83980,0.856942129078352,0.143057870921648,0.9665814412361393,0.9300626146469538,0.0006943481417107691,27379.113562868555,1.7452919916302074,2.753226342767389,1.2430731178612122,2822,4981,20,0,0,36832400,10514,45
SHEER,SHEER,1261,1275,7013,340,14566,85690,0.8300151709651068,0.1699848290348932,0.942340138349924,0.8829008534799246,0.0007025981436409219,40566.94709824611,2.058748039355483,3.218637835855863,1.0,2000,9064,17,0,0,36667000,7013,46
ACTAR,ACTAR,838,954,7094,300,13791,82428,0.8326903479400204,0.1673096520599796,0.9343357081457523,0.8785521157685499,0.0007281724330902442,38701.43783478996,1.9378347899633492,2.6744363720576008,1.634410012092603,2168,10778,9,0,0,35140200,7094,46
TFSM_DPC,TFSM_DPC,522,1033,7740,409,11377,74378,0.8470381026647664,0.15296189733523358,0.942762813288678,0.8960191533307343,0.0007780325246776312,32558.656330749352,1.9359173126614988,2.526606470618099,1.8561451405533245,2326,9041,11,0,0,32151600,7740,46
DST_WOA,DST_WOA,637,1303,7669,871,14293,86062,0.8339220561920476,0.16607794380795238,0.9528208558012512,0.8995130955511939,0.0006931824106026462,37433.30290781066,1.6865301864649889,4.259105924283914,1.256210898856052,1694,8507,16,0,0,36480600,7669,46
TRAIL,TRAIL,838,969,8984,985,11954,83282,0.8564635815662448,0.1435364184337552,0.9651889860924181,0.9311041784079713,0.000700478662346681,31757.791629563668,1.8739982190560998,3.0320564678567954,1.3068780843427545,2499,4688,20,0,0,36205600,8984,46
SHEER,SHEER,1369,1379,4913,463,13763,85053,0.8381832504438409,0.1618167495561591,0.9324028615514097,0.8882476854378578,0.0007009423236384728,58041.929574598005,2.7311215143496845,3.7482146491814743,1.0,1492,8498,15,0,0,36660400,4913,47
ACTAR,ACTAR,824,985,2971,300,14399,85602,0.8317913132870728,0.1682086867129272,0.9376711655407778,0.8864634679884134,0.000701821396868523,95864.01884887244,3.23089868731067,6.177483142722121,1.6270241422411977,831,10449,14,0,0,36119200,2971,47
TFSM_DPC,TFSM_DPC,657,1122,4485,314,12719,77839,0.836598620228934,0.16340137977106595,0.9506756756756757,0.8927825920084819,0.000760008739919713,58078.03790412486,2.677814938684504,4.270922913931471,1.7942414004914005,1120,9190,15,0,0,33482800,4485,47
DST_WOA,DST_WOA,649,1706,5467,1062,13732,86547,0.8413347660808578,0.15866523391914222,0.954528599876399,0.909499904511345,0.0006861817383196779,53276.019754892994,2.1296872141942567,5.343957685506985,1.2422028428208474,1081,7134,16,0,0,36958000,5467,47
TRAIL,TRAIL,823,1082,5148,1122,11790,84289,0.8601240968572411,0.13987590314275888,0.9633236320500972,0.932313953899467,0.000689267852141715,56331.77933177933,2.676184926184926,4.591698508932501,1.2488034317714727,1269,4728,20,0,0,36491600,5148,47
SHEER,SHEER,1285,1302,8716,300,13178,84471,0.8439937966876206,0.15600620331237935,0.9449174533264135,0.8909314305296268,0.0007010096929848752,32718.219366681966,1.8625516291877007,2.577768444459013,1.0,2590,8346,13,0,0,37044200,8716,48
ACTAR,ACTAR,824,946,7532,300,12782,82255,0.8446051911737888,0.15539480882621115,0.9452449152908324,0.893449591634307,0.0007193611778181223,36894.848645778016,1.8818374933616568,2.5802612604690403,1.6728225353734545,2124,10749,11,0,0,35688000,7532,48
TFSM_DPC,TFSM_DPC,564,1113,5977,304,12990,79343,0.8362804532220864,0.16371954677791356,0.9510044760598616,0.8989076505958701,0.0007500562167460339,44405.55462606659,2.1930734482181697,3.847972520933105,1.7872289120311065,1500,9151,18,0,0,34328800,5977,48
DST_WOA,DST_WOA,707,1554,8298,974,13295,86233,0.8458246842855983,0.15417531571440168,0.958814335462996,0.9125344311464736,0.0006851129196748699,35159.31549771029,1.6763075439865027,4.089389009399854,1.2621267377772902,1859,6790,18,0,0,37221600,8298,48
TRAIL,TRAIL,872,995,9615,997,11267,83645,0.8652997788271863,0.13470022117281366,0.9684296333139905,0.9354753997532207,0.0006903956424390038,30110.452418096724,1.8544981799271971,2.8341366245720194,1.2338279587720025,2624,4411,20,0,0,37042600,9615,48
SHEER,SHEER,1276,1287,8015,301,14066,85114,0.8347392908334704,0.16526070916652957,0.9397027361783583,0.8814764071519213,0.0007034365266372553,35457.51715533375,1.9451029320024953,2.7166225529513115,1.0,2409,9113,15,0,0,36741400,8015,49
ACTAR,ACTAR,828,951,4514,300,13395,84263,0.8410334310432812,0.1589665689567188,0.9397189140373653,0.8927793774459966,0.0007051147644651738,62798.40496233939,2.450155073105893,4.067818734212177,1.6502088389682226,1353,10754,12,0,0,35779200,4514,49
TFSM_DPC,TFSM_DPC,638,1102,6473,300,12203,77364,0.8422651362390776,0.15773486376092238,0.9440769785607955,0.8923448993389653,0.000766774053082582,40266.33709253823,2.2079406766568823,2.784317254533357,1.8377096729638895,1875,9289,13,0,0,33377600,6473,49
DST_WOA,DST_WOA,705,1427,7240,968,13575,86885,0.8437589917707314,0.15624100822926856,0.9611649161096713,0.914634292014174,0.0006803898497089947,40502.76243093923,1.7602209944751381,4.634587937384893,1.2388760060019097,1575,6639,17,0,0,37092600,7240,49
TRAIL,TRAIL,861,1002,8785,1011,11740,83985,0.8602131332976126,0.13978686670238738,0.9694234895148454,0.9320956889435963,0.0006916971267299012,32894.70688673876,1.9424018212862835,3.0423339543163563,1.234341476918818,2327,4747,20,0,0,36600400,8785,49
SHEER,SHEER,1303,1315,8809,317,13107,83893,0.8437652724303577,0.1562347275696423,0.940652106348713,0.8919728518915525,0.0007060487785921622,32142.581450788966,1.8528777386763537,2.6130968598132873,1.0,2611,8199,17,0,0,36831400,8809,50
ACTAR,ACTAR,833,952,5187,300,13495,82954,0.8373194782650626,0.1626805217349374,0.9379346089059734,0.8830448351389145,0.0007194066028242607,53563.90977443609,2.288220551378446,3.252273241934895,1.645690263320808,1583,10316,10,0,0,35364200,5187,50
TFSM_DPC,TFSM_DPC,619,1072,6423,1261,11979,77974,0.8463718675455921,0.15362813245440787,0.9478445336767937,0.9013750747874859,0.0007564640945160917,41099.174840417254,2.1304686283668066,3.23976811957518,1.793923782104705,1780,8188,16,0,0,33821800,6423,50
DST_WOA,DST_WOA,677,1498,7460,1001,12864,86209,0.8507812409377211,0.14921875906227888,0.9583202672302134,0.9190784621501039,0.0006812501990086403,39327.07774798928,1.7345844504021448,4.463992403932088,1.2385302338264368,1720,6194,17,0,0,37098800,7460,50
TRAIL,TRAIL,854,1003,9763,1034,11333,83024,0.8634973019849682,0.1365026980150318,0.9675691509394485,0.9351420577441116,0.0006969652763362456,29372.528935777937,1.8404179043326847,2.818953713925803,1.2142109888270494,2648,4551,20,0,0,36814400,9763,50
SHEER,SHEER,1342,1352,11572,300,12659,81891,0.8454164682321622,0.1545835317678378,0.9386988675756875,0.8956423858031992,0.0007217289535666461,23930.867611475976,1.6721396474248185,2.1159023011209324,1.0,3484,7698,14,0,0,36508400,11572,51
ACTAR,ACTAR,811,909,6189,353,13501,82085,0.8355241517938722,0.16447584820612782,0.9296045724950426,0.8841967741116464,0.0007286474573518908,44326.38552270157,2.0709322992405883,3.0692704985361323,1.6559401609704887,1965,11157,9,0,0,35389800,6189,51
TFSM_DPC,TFSM_DPC,522,1103,9920,1297,11145,75745,0.8528615750214535,0.14713842497854646,0.9531733746130031,0.9127349835218382,0.0007734320133079854,26048.387096774193,1.7022177419354838,2.573077381765267,1.7545356037151703,2766,6528,17,0,0,33602400,9920,51
DST_WOA,DST_WOA,626,1509,9827,755,13729,84255,0.8370541807607857,0.16294581923921425,0.957802796131923,0.9084011612549787,0.0007085946996444101,28707.031647501783,1.5545944845832909,3.6996641904955756,1.2219465161784306,2244,6969,19,0,0,36684000,9827,51
TRAIL,TRAIL,787,996,11747,1018,11443,80816,0.8584067511383885,0.1415932488616115,0.9676531215314316,0.9319801089315948,0.000720284723319592,23622.37166936239,1.671405465225164,2.5142872813202874,1.298257247055771,3272,4521,20,0,0,36273600,11747,51
