algo,pdr_mean,pdr_std,bpj_mean,bpj_std,overhead_mean,overhead_std,timely_overall_mean,timely_overall_std,n,pdr_ci95,bpj_ci95,overhead_ci95,timely_overall_ci95
ACTAR,0.7472853001832356,0.12414753729654875,1310.079956472187,138.12436293510487,0.14596084600231019,0.024049541030266786,0.6638237149961655,0.16661754838450205,5,0.10882011439263518,121.07134222972476,0.021080352159967966,0.14604672045738587
DST_WOA,0.7527034966298883,0.12077528111455235,1374.3525776151678,135.821178940719,0.1432193120816258,0.02293599744102042,0.6822801037320945,0.15876976112323038,5,0.10586420152092396,119.05251244707932,0.02010428816867409,0.13916783162803503
SHEER,0.7501381515539064,0.1265148429171935,1335.9117826283662,147.97037099990038,0.1482740603670205,0.02468005881087203,0.670300167504827,0.17014540931630956,5,0.11089514925881656,129.70174881896318,0.021633025362402573,0.14913902690599132
TFSM_DPC,0.7511556119443924,0.12241766053982132,1254.7137735831013,114.34337991685209,0.14615761487553028,0.023203922262036165,0.6745329965294207,0.16142566402859984,5,0.10730381056050536,100.22639154629688,0.020339134628833154,0.14149583316774877
TRAIL,0.7774983549456254,0.12025425792318553,1399.1356945241062,77.13909523989369,0.14175631633664942,0.01948485518672278,0.7260954095245375,0.1536175536450351,5,0.10540750455761391,67.61539818625923,0.01707922860586658,0.13465172265510747
