algo,auc_norm_mean,auc_norm_std,n,auc_norm_ci95
ACTAR,0.7525451963793736,0.005314529997811411,5,0.004658390934678704
DST_WOA,0.7653764773588936,0.004880773220959273,5,0.00427818635629161
SHEER,0.7513026485961973,0.006814752935856878,5,0.0059733943192613595
TFSM_DPC,0.7555940102734637,0.004015766758355214,5,0.0035199747617587623
TRAIL,0.7785098413544763,0.003306679298171364,5,0.0028984321986769666
